,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,42,17,0.34492779371158216,0,0
circuit001.qasm,55,11,0.6131662607362388,1,1
circuit003.qasm,62,12,0.7499999999999994,1,1
circuit004.qasm,55,9,0.6767766952966366,1,1
circuit006.qasm,67,13,0.9176237822087159,1,1
circuit009.qasm,29,11,0.1982233047033637,0,0
circuit011.qasm,58,12,0.6249999999999999,1,1
circuit017.qasm,32,13,0.17233495705504537,0,0
circuit018.qasm,47,12,0.35747936963188054,0,0
circuit022.qasm,43,12,0.32322330470336336,0,0
circuit026.qasm,37,10,0.190640783230886,0,0
circuit030.qasm,29,8,0.25000000000000044,0,0
circuit037.qasm,38,5,0.28661165235168196,0,0
circuit038.qasm,43,19,0.3943831319696847,0,0
circuit039.qasm,34,5,0.3071383476483189,0,0
circuit044.qasm,39,13,0.3996152937115823,0,0
circuit045.qasm,36,17,0.15280370705504515,0,0
circuit049.qasm,45,14,0.3383883476483188,0,0
circuit050.qasm,40,12,0.3857233047033629,0,0
circuit055.qasm,48,14,0.36741747852752255,0,0
circuit056.qasm,62,8,0.6379441738241589,1,1
circuit059.qasm,67,11,0.7499999999999996,1,1
circuit060.qasm,47,8,0.3416917502555425,0,0
circuit064.qasm,44,14,0.38281250000000017,0,0
circuit067.qasm,54,15,0.6010072827198008,1,1
circuit070.qasm,48,12,0.6075050033032217,1,0
circuit071.qasm,34,15,0.33126578323088574,0,0
circuit072.qasm,40,15,0.3750000000000003,0,0
circuit073.qasm,42,12,0.3232233047033634,0,0
circuit075.qasm,32,18,0.12500000000000078,0,0
circuit077.qasm,46,10,0.32322330470336325,0,0
circuit078.qasm,71,16,0.8383883476483178,1,1
circuit080.qasm,67,10,0.7354854345603978,1,1
circuit082.qasm,60,12,0.6006146848159402,1,1
circuit083.qasm,30,9,0.12500000000000078,0,0
circuit088.qasm,61,15,0.620053739104047,1,1
circuit089.qasm,62,12,0.6249999999999998,1,1
circuit093.qasm,39,14,0.33214623926376163,0,0
circuit094.qasm,47,14,0.38415291308792077,0,0
circuit095.qasm,53,7,0.669194173824159,1,1
circuit097.qasm,42,15,0.375,0,0
circuit098.qasm,55,12,0.6369963586400991,1,1
circuit099.qasm,37,8,0.2866116523516816,0,0
circuit101.qasm,59,14,0.8276650429449548,1,1
circuit103.qasm,45,15,0.2683058261758413,0,0
circuit105.qasm,55,9,0.6186092227760895,1,1
circuit111.qasm,38,14,0.3102791308792041,0,0
circuit114.qasm,64,13,0.7499999999999997,1,1
circuit119.qasm,35,17,0.2919733047033635,0,0
circuit121.qasm,37,8,0.3887293696318808,0,0
circuit122.qasm,58,9,0.6421280324642584,1,1
circuit123.qasm,61,16,0.6319291547163131,1,1
circuit125.qasm,29,10,0.1418701528627665,0,0
circuit127.qasm,50,10,0.3630001537256544,0,0
circuit132.qasm,55,12,0.7042354345603976,1,1
circuit133.qasm,78,12,0.9095673531442079,1,1
circuit134.qasm,38,9,0.28488952738362483,0,0
circuit135.qasm,37,8,0.3705385327198012,0,0
circuit136.qasm,59,6,0.713388347648318,1,1
circuit137.qasm,35,13,0.24463834764831893,0,0
circuit145.qasm,54,18,0.6249999999999997,1,1
circuit147.qasm,65,12,0.908470869120795,1,1
circuit148.qasm,34,12,0.20312500000000072,0,0
circuit150.qasm,49,9,0.6142766952966366,1,0
circuit151.qasm,66,16,0.9267766952966365,1,1
circuit152.qasm,68,7,0.7392766952966366,1,1
circuit154.qasm,54,10,0.6950825214724776,1,1
circuit155.qasm,48,12,0.6182099487954539,1,0
circuit161.qasm,62,19,0.658293365334277,1,1
circuit164.qasm,70,13,0.9374999999999993,1,1
circuit165.qasm,58,16,0.6169575214724774,1,1
circuit166.qasm,36,12,0.2645145654396024,0,0
circuit172.qasm,53,20,0.6691941738241587,1,1
circuit173.qasm,40,14,0.28661165235168196,0,0
circuit174.qasm,67,14,0.9267766952966361,1,1
circuit178.qasm,38,19,0.3167512177912839,0,0
circuit180.qasm,67,20,0.6127736628323779,1,1
circuit181.qasm,66,13,0.8535533905932733,1,1
circuit182.qasm,46,12,0.6066941738241588,1,0
circuit186.qasm,29,15,0.2591529130879206,0,0
circuit191.qasm,52,16,0.6874999999999998,1,1
circuit197.qasm,60,12,0.7180222988241589,1,1
circuit200.qasm,67,15,0.6639236956799499,1,1
circuit201.qasm,71,12,0.7271177172801987,1,1
circuit202.qasm,34,14,0.2995558261758411,0,0
circuit210.qasm,63,8,0.6483225107362383,1,1
circuit212.qasm,59,12,0.7163492924096972,1,1
circuit214.qasm,47,8,0.3986674785275226,0,0
circuit215.qasm,65,15,0.853553390593273,1,1
circuit216.qasm,67,14,0.8535533905932731,1,1
circuit224.qasm,46,18,0.294424152351682,0,0
circuit231.qasm,39,14,0.39330582617584103,0,0
circuit232.qasm,45,6,0.3777621358640101,0,0
circuit234.qasm,60,12,0.6727891356084676,1,1
circuit237.qasm,56,13,0.7567496955521787,1,1
circuit240.qasm,49,10,0.3719602554958907,0,0
circuit241.qasm,30,14,0.1288684844067267,0,0
circuit242.qasm,57,11,0.7196978151840594,1,1
circuit243.qasm,50,13,0.6249999999999997,1,0
circuit244.qasm,33,22,0.24777913087920445,0,0
