,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,54,35,0.34492779371158216,0,1
circuit001.qasm,38,35,0.6131662607362388,1,0
circuit003.qasm,36,33,0.7499999999999994,1,0
circuit004.qasm,36,35,0.6767766952966366,1,0
circuit006.qasm,28,45,0.9176237822087159,1,0
circuit009.qasm,67,42,0.1982233047033637,0,1
circuit011.qasm,43,36,0.6249999999999999,1,0
circuit017.qasm,66,32,0.17233495705504537,0,1
circuit018.qasm,57,36,0.35747936963188054,0,1
circuit022.qasm,66,40,0.32322330470336336,0,1
circuit026.qasm,79,29,0.190640783230886,0,1
circuit030.qasm,66,34,0.25000000000000044,0,1
circuit037.qasm,60,34,0.28661165235168196,0,1
circuit038.qasm,53,38,0.3943831319696847,0,1
circuit039.qasm,63,34,0.3071383476483189,0,1
circuit044.qasm,53,34,0.3996152937115823,0,1
circuit045.qasm,66,38,0.15280370705504515,0,1
circuit049.qasm,60,37,0.3383883476483188,0,1
circuit050.qasm,63,38,0.3857233047033629,0,1
circuit055.qasm,55,35,0.36741747852752255,0,1
circuit056.qasm,53,39,0.6379441738241589,1,1
circuit059.qasm,38,34,0.7499999999999996,1,0
circuit060.qasm,58,31,0.3416917502555425,0,1
circuit064.qasm,66,36,0.38281250000000017,0,1
circuit067.qasm,36,34,0.6010072827198008,1,0
circuit070.qasm,47,40,0.6075050033032217,1,0
circuit071.qasm,60,31,0.33126578323088574,0,1
circuit072.qasm,54,38,0.3750000000000003,0,1
circuit073.qasm,65,35,0.3232233047033634,0,1
circuit075.qasm,64,40,0.12500000000000078,0,1
circuit077.qasm,55,40,0.32322330470336325,0,1
circuit078.qasm,26,45,0.8383883476483178,1,0
circuit080.qasm,41,35,0.7354854345603978,1,0
circuit082.qasm,46,43,0.6006146848159402,1,0
circuit083.qasm,64,40,0.12500000000000078,0,1
circuit088.qasm,43,40,0.620053739104047,1,0
circuit089.qasm,33,41,0.6249999999999998,1,0
circuit093.qasm,58,39,0.33214623926376163,0,1
circuit094.qasm,50,31,0.38415291308792077,0,0
circuit095.qasm,51,39,0.669194173824159,1,1
circuit097.qasm,53,44,0.375,0,1
circuit098.qasm,48,33,0.6369963586400991,1,0
circuit099.qasm,66,33,0.2866116523516816,0,1
circuit101.qasm,34,41,0.8276650429449548,1,0
circuit103.qasm,67,39,0.2683058261758413,0,1
circuit105.qasm,38,33,0.6186092227760895,1,0
circuit111.qasm,62,34,0.3102791308792041,0,1
circuit114.qasm,33,39,0.7499999999999997,1,0
circuit119.qasm,57,39,0.2919733047033635,0,1
circuit121.qasm,56,39,0.3887293696318808,0,1
circuit122.qasm,45,35,0.6421280324642584,1,0
circuit123.qasm,46,41,0.6319291547163131,1,0
circuit125.qasm,74,33,0.1418701528627665,0,1
circuit127.qasm,61,37,0.3630001537256544,0,1
circuit132.qasm,33,37,0.7042354345603976,1,0
circuit133.qasm,26,40,0.9095673531442079,1,0
circuit134.qasm,56,38,0.28488952738362483,0,1
circuit135.qasm,48,47,0.3705385327198012,0,0
circuit136.qasm,37,45,0.713388347648318,1,0
circuit137.qasm,54,40,0.24463834764831893,0,1
circuit145.qasm,45,40,0.6249999999999997,1,0
circuit147.qasm,18,44,0.908470869120795,1,0
circuit148.qasm,60,43,0.20312500000000072,0,1
circuit150.qasm,46,39,0.6142766952966366,1,0
circuit151.qasm,25,35,0.9267766952966365,1,0
circuit152.qasm,32,37,0.7392766952966366,1,0
circuit154.qasm,43,38,0.6950825214724776,1,0
circuit155.qasm,46,32,0.6182099487954539,1,0
circuit161.qasm,44,35,0.658293365334277,1,0
circuit164.qasm,31,46,0.9374999999999993,1,0
circuit165.qasm,41,40,0.6169575214724774,1,0
circuit166.qasm,60,38,0.2645145654396024,0,1
circuit172.qasm,38,35,0.6691941738241587,1,0
circuit173.qasm,63,37,0.28661165235168196,0,1
circuit174.qasm,25,32,0.9267766952966361,1,0
circuit178.qasm,62,38,0.3167512177912839,0,1
circuit180.qasm,40,37,0.6127736628323779,1,0
circuit181.qasm,35,41,0.8535533905932733,1,0
circuit182.qasm,46,38,0.6066941738241588,1,0
circuit186.qasm,56,37,0.2591529130879206,0,1
circuit191.qasm,39,32,0.6874999999999998,1,0
circuit197.qasm,34,40,0.7180222988241589,1,0
circuit200.qasm,39,35,0.6639236956799499,1,0
circuit201.qasm,39,36,0.7271177172801987,1,0
circuit202.qasm,69,38,0.2995558261758411,0,1
circuit210.qasm,42,44,0.6483225107362383,1,0
circuit212.qasm,35,43,0.7163492924096972,1,0
circuit214.qasm,55,32,0.3986674785275226,0,1
circuit215.qasm,39,40,0.853553390593273,1,0
circuit216.qasm,32,34,0.8535533905932731,1,0
circuit224.qasm,61,42,0.294424152351682,0,1
circuit231.qasm,54,44,0.39330582617584103,0,1
circuit232.qasm,63,33,0.3777621358640101,0,1
circuit234.qasm,39,44,0.6727891356084676,1,0
circuit237.qasm,37,41,0.7567496955521787,1,0
circuit240.qasm,53,51,0.3719602554958907,0,1
circuit241.qasm,70,36,0.1288684844067267,0,1
circuit242.qasm,34,35,0.7196978151840594,1,0
circuit243.qasm,37,44,0.6249999999999997,1,0
circuit244.qasm,66,42,0.24777913087920445,0,1
