,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,33,7,0.34492779371158216,0,0
circuit001.qasm,57,13,0.6131662607362388,1,1
circuit003.qasm,70,22,0.7499999999999994,1,1
circuit004.qasm,62,12,0.6767766952966366,1,1
circuit006.qasm,92,20,0.9176237822087159,1,1
circuit009.qasm,22,16,0.1982233047033637,0,0
circuit011.qasm,58,12,0.6249999999999999,1,1
circuit017.qasm,20,16,0.17233495705504537,0,0
circuit018.qasm,46,11,0.35747936963188054,0,0
circuit022.qasm,44,14,0.32322330470336336,0,0
circuit026.qasm,23,9,0.190640783230886,0,0
circuit030.qasm,30,17,0.25000000000000044,0,0
circuit037.qasm,22,14,0.28661165235168196,0,0
circuit038.qasm,43,10,0.3943831319696847,0,0
circuit039.qasm,34,16,0.3071383476483189,0,0
circuit044.qasm,41,16,0.3996152937115823,0,0
circuit045.qasm,19,11,0.15280370705504515,0,0
circuit049.qasm,31,13,0.3383883476483188,0,0
circuit050.qasm,45,14,0.3857233047033629,0,0
circuit055.qasm,44,13,0.36741747852752255,0,0
circuit056.qasm,67,13,0.6379441738241589,1,1
circuit059.qasm,66,15,0.7499999999999996,1,1
circuit060.qasm,34,15,0.3416917502555425,0,0
circuit064.qasm,36,13,0.38281250000000017,0,0
circuit067.qasm,59,16,0.6010072827198008,1,1
circuit070.qasm,52,20,0.6075050033032217,1,1
circuit071.qasm,35,16,0.33126578323088574,0,0
circuit072.qasm,34,12,0.3750000000000003,0,0
circuit073.qasm,38,12,0.3232233047033634,0,0
circuit075.qasm,19,18,0.12500000000000078,0,0
circuit077.qasm,38,14,0.32322330470336325,0,0
circuit078.qasm,81,18,0.8383883476483178,1,1
circuit080.qasm,69,11,0.7354854345603978,1,1
circuit082.qasm,62,13,0.6006146848159402,1,1
circuit083.qasm,15,11,0.12500000000000078,0,0
circuit088.qasm,58,11,0.620053739104047,1,1
circuit089.qasm,55,16,0.6249999999999998,1,1
circuit093.qasm,40,14,0.33214623926376163,0,0
circuit094.qasm,44,10,0.38415291308792077,0,0
circuit095.qasm,62,13,0.669194173824159,1,1
circuit097.qasm,43,9,0.375,0,0
circuit098.qasm,60,14,0.6369963586400991,1,1
circuit099.qasm,31,19,0.2866116523516816,0,0
circuit101.qasm,79,16,0.8276650429449548,1,1
circuit103.qasm,21,11,0.2683058261758413,0,0
circuit105.qasm,61,18,0.6186092227760895,1,1
circuit111.qasm,31,12,0.3102791308792041,0,0
circuit114.qasm,72,15,0.7499999999999997,1,1
circuit119.qasm,31,15,0.2919733047033635,0,0
circuit121.qasm,39,17,0.3887293696318808,0,0
circuit122.qasm,61,18,0.6421280324642584,1,1
circuit123.qasm,61,16,0.6319291547163131,1,1
circuit125.qasm,12,15,0.1418701528627665,0,0
circuit127.qasm,41,16,0.3630001537256544,0,0
circuit132.qasm,57,10,0.7042354345603976,1,1
circuit133.qasm,89,16,0.9095673531442079,1,1
circuit134.qasm,50,12,0.28488952738362483,0,0
circuit135.qasm,38,15,0.3705385327198012,0,0
circuit136.qasm,69,16,0.713388347648318,1,1
circuit137.qasm,28,13,0.24463834764831893,0,0
circuit145.qasm,59,18,0.6249999999999997,1,1
circuit147.qasm,86,18,0.908470869120795,1,1
circuit148.qasm,19,15,0.20312500000000072,0,0
circuit150.qasm,64,18,0.6142766952966366,1,1
circuit151.qasm,86,14,0.9267766952966365,1,1
circuit152.qasm,78,12,0.7392766952966366,1,1
circuit154.qasm,62,8,0.6950825214724776,1,1
circuit155.qasm,59,10,0.6182099487954539,1,1
circuit161.qasm,62,15,0.658293365334277,1,1
circuit164.qasm,92,16,0.9374999999999993,1,1
circuit165.qasm,56,18,0.6169575214724774,1,1
circuit166.qasm,26,11,0.2645145654396024,0,0
circuit172.qasm,66,9,0.6691941738241587,1,1
circuit173.qasm,32,13,0.28661165235168196,0,0
circuit174.qasm,88,13,0.9267766952966361,1,1
circuit178.qasm,30,6,0.3167512177912839,0,0
circuit180.qasm,58,17,0.6127736628323779,1,1
circuit181.qasm,86,13,0.8535533905932733,1,1
circuit182.qasm,52,13,0.6066941738241588,1,1
circuit186.qasm,27,12,0.2591529130879206,0,0
circuit191.qasm,70,21,0.6874999999999998,1,1
circuit197.qasm,73,20,0.7180222988241589,1,1
circuit200.qasm,67,10,0.6639236956799499,1,1
circuit201.qasm,73,15,0.7271177172801987,1,1
circuit202.qasm,34,16,0.2995558261758411,0,0
circuit210.qasm,67,15,0.6483225107362383,1,1
circuit212.qasm,58,9,0.7163492924096972,1,1
circuit214.qasm,45,17,0.3986674785275226,0,0
circuit215.qasm,78,20,0.853553390593273,1,1
circuit216.qasm,77,15,0.8535533905932731,1,1
circuit224.qasm,36,16,0.294424152351682,0,0
circuit231.qasm,35,18,0.39330582617584103,0,0
circuit232.qasm,40,13,0.3777621358640101,0,0
circuit234.qasm,63,12,0.6727891356084676,1,1
circuit237.qasm,68,12,0.7567496955521787,1,1
circuit240.qasm,39,10,0.3719602554958907,0,0
circuit241.qasm,17,15,0.1288684844067267,0,0
circuit242.qasm,72,16,0.7196978151840594,1,1
circuit243.qasm,60,13,0.6249999999999997,1,1
circuit244.qasm,31,12,0.24777913087920445,0,0
