,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,45,24,0.34492779371158216,0,0
circuit001.qasm,57,30,0.6131662607362388,1,1
circuit003.qasm,74,28,0.7499999999999994,1,1
circuit004.qasm,54,20,0.6767766952966366,1,1
circuit006.qasm,81,33,0.9176237822087159,1,1
circuit009.qasm,20,39,0.1982233047033637,0,0
circuit011.qasm,58,28,0.6249999999999999,1,1
circuit017.qasm,18,25,0.17233495705504537,0,0
circuit018.qasm,40,28,0.35747936963188054,0,0
circuit022.qasm,32,25,0.32322330470336336,0,0
circuit026.qasm,34,31,0.190640783230886,0,0
circuit030.qasm,39,26,0.25000000000000044,0,0
circuit037.qasm,28,27,0.28661165235168196,0,0
circuit038.qasm,40,36,0.3943831319696847,0,0
circuit039.qasm,39,37,0.3071383476483189,0,0
circuit044.qasm,39,35,0.3996152937115823,0,0
circuit045.qasm,22,35,0.15280370705504515,0,0
circuit049.qasm,37,25,0.3383883476483188,0,0
circuit050.qasm,48,34,0.3857233047033629,0,0
circuit055.qasm,41,30,0.36741747852752255,0,0
circuit056.qasm,60,30,0.6379441738241589,1,1
circuit059.qasm,67,27,0.7499999999999996,1,1
circuit060.qasm,40,28,0.3416917502555425,0,0
circuit064.qasm,32,29,0.38281250000000017,0,0
circuit067.qasm,54,39,0.6010072827198008,1,1
circuit070.qasm,47,33,0.6075050033032217,1,0
circuit071.qasm,37,35,0.33126578323088574,0,0
circuit072.qasm,42,36,0.3750000000000003,0,0
circuit073.qasm,33,26,0.3232233047033634,0,0
circuit075.qasm,15,36,0.12500000000000078,0,0
circuit077.qasm,34,36,0.32322330470336325,0,0
circuit078.qasm,84,18,0.8383883476483178,1,1
circuit080.qasm,63,28,0.7354854345603978,1,1
circuit082.qasm,66,32,0.6006146848159402,1,1
circuit083.qasm,12,23,0.12500000000000078,0,0
circuit088.qasm,64,28,0.620053739104047,1,1
circuit089.qasm,60,30,0.6249999999999998,1,1
circuit093.qasm,38,41,0.33214623926376163,0,0
circuit094.qasm,27,29,0.38415291308792077,0,0
circuit095.qasm,67,30,0.669194173824159,1,1
circuit097.qasm,44,32,0.375,0,0
circuit098.qasm,61,23,0.6369963586400991,1,1
circuit099.qasm,28,28,0.2866116523516816,0,0
circuit101.qasm,75,33,0.8276650429449548,1,1
circuit103.qasm,37,40,0.2683058261758413,0,0
circuit105.qasm,58,24,0.6186092227760895,1,1
circuit111.qasm,33,27,0.3102791308792041,0,0
circuit114.qasm,70,22,0.7499999999999997,1,1
circuit119.qasm,35,31,0.2919733047033635,0,0
circuit121.qasm,38,27,0.3887293696318808,0,0
circuit122.qasm,60,27,0.6421280324642584,1,1
circuit123.qasm,63,32,0.6319291547163131,1,1
circuit125.qasm,21,27,0.1418701528627665,0,0
circuit127.qasm,41,22,0.3630001537256544,0,0
circuit132.qasm,68,39,0.7042354345603976,1,1
circuit133.qasm,78,36,0.9095673531442079,1,1
circuit134.qasm,39,36,0.28488952738362483,0,0
circuit135.qasm,43,28,0.3705385327198012,0,0
circuit136.qasm,68,34,0.713388347648318,1,1
circuit137.qasm,28,32,0.24463834764831893,0,0
circuit145.qasm,63,37,0.6249999999999997,1,1
circuit147.qasm,86,22,0.908470869120795,1,1
circuit148.qasm,28,31,0.20312500000000072,0,0
circuit150.qasm,55,23,0.6142766952966366,1,1
circuit151.qasm,86,34,0.9267766952966365,1,1
circuit152.qasm,68,31,0.7392766952966366,1,1
circuit154.qasm,69,32,0.6950825214724776,1,1
circuit155.qasm,51,34,0.6182099487954539,1,1
circuit161.qasm,47,28,0.658293365334277,1,0
circuit164.qasm,92,21,0.9374999999999993,1,1
circuit165.qasm,60,34,0.6169575214724774,1,1
circuit166.qasm,29,32,0.2645145654396024,0,0
circuit172.qasm,59,28,0.6691941738241587,1,1
circuit173.qasm,35,32,0.28661165235168196,0,0
circuit174.qasm,88,27,0.9267766952966361,1,1
circuit178.qasm,31,27,0.3167512177912839,0,0
circuit180.qasm,63,32,0.6127736628323779,1,1
circuit181.qasm,85,28,0.8535533905932733,1,1
circuit182.qasm,51,28,0.6066941738241588,1,1
circuit186.qasm,29,29,0.2591529130879206,0,0
circuit191.qasm,65,25,0.6874999999999998,1,1
circuit197.qasm,66,30,0.7180222988241589,1,1
circuit200.qasm,64,30,0.6639236956799499,1,1
circuit201.qasm,69,32,0.7271177172801987,1,1
circuit202.qasm,29,23,0.2995558261758411,0,0
circuit210.qasm,66,40,0.6483225107362383,1,1
circuit212.qasm,66,23,0.7163492924096972,1,1
circuit214.qasm,36,26,0.3986674785275226,0,0
circuit215.qasm,71,30,0.853553390593273,1,1
circuit216.qasm,83,37,0.8535533905932731,1,1
circuit224.qasm,29,27,0.294424152351682,0,0
circuit231.qasm,37,38,0.39330582617584103,0,0
circuit232.qasm,42,34,0.3777621358640101,0,0
circuit234.qasm,59,30,0.6727891356084676,1,1
circuit237.qasm,75,32,0.7567496955521787,1,1
circuit240.qasm,49,30,0.3719602554958907,0,0
circuit241.qasm,18,24,0.1288684844067267,0,0
circuit242.qasm,62,28,0.7196978151840594,1,1
circuit243.qasm,60,28,0.6249999999999997,1,1
circuit244.qasm,33,36,0.24777913087920445,0,0
